RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,"RAYALASEEMA UNIVERSITY COLLEGE
OF ENGINEERING, RAYALASEEMA UNIVERSITY, KURNOOL-518007, ANDHRA PRADESH",KURNOOL,State Government University
S.V.K.P. & DR. K.S. RAJU ARTS & SCIENCE COLLEGE,"S.V.K.P. & DR. K.S. RAJU ARTS & SCIENCE
COLLEGE, PENUGONDA, WEST GODAVARI DISTRICT",WEST GODAVARI,Private-Self Financing
"KALLAM HARANADHAREDDY
INSTITUTE OF TECHNOLOGY","BEHIND KALLAM SPINNING MILLS
LIMITED N.H.5,CHOWDAVARAM",GUNTUR,"Private-Self
Financing"
MUTTAMSETTY VENKATA NARAYANA INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"VEGAVARAM VILLAGE
JANGAREDDYGUDEM MANDAL WEST GODAVARI DISTRICT ANDHRA PRADESH; NH-5, ELURU BYPASS ROAD, TANGILLAMUDI, ELURU. ANDHRA PRADESH",WEST GODAVARI,Private-Self Financing
DCRM PG COLLEGE (MBA),"GANGAVARAM ROAD INKOLLU - 523167
PRAKASAM (DIST.) ANDHRA PRADESH.",PRAKASAM,"Private-Self
Financing"
NOVA PG COLLEGE(MBA),"T.V.RELAY STATION ROAD JUPUDI
VILLAGE IBRAHIMPATNAM MANDAL KRISHNA DISTRICT ANDHRA PRADESH PIN:521456",KRISHNA,Private-Self Financing
RGUKT- RK VALLEY,"IDUPULAPAYA,VEMPALLI MANDALAM, KADAPA DISTRICT, ANDHRA PRADESH HEAD OFFICE: RGUKT VINDHYA C-4, IIIT- H CAMPUS, GACHIBOWLI, HYDERABAD.",YSR DISTRICT,State Government University
DVR&DR.HS MIC COLLEGE OF TECHNOLOGY,DVR & DR HS MIC COLLEGE OF TECHNOLOGY KANCHIKACHERLA-521 180 KRISHNA DISTRICT ANDHA PRADESH,KRISHNA,Private-Self Financing
GOVERNMENT POLYTECHNIC,"GOVERMENT POLYTECHNIC DEGREE
COLLAGE PREMISES RAMIREDDY PALLY ROAD JAMMALAMADUGU",YSR DISTRICT,Government
SRI SAI COLLEGE OF IT & MANAGEMENT,BUDDAYAPALL KADAPA,YSR DISTRICT,"Private-Self
Financing"
BAPATLA WOMEN'S ENGINEERING COLLEGE,KARLAPALEM ROAD BACK SIDE OF BAPATLA COLLEGE OF ARTS & SCIENCES,GUNTUR,Private-Self Financing
D A GOVERNEMENT POLYTECHNIC,HOUSING BOARD COLONY,PRAKASAM,Government
DNR COLLEGE,"SECRETARY & CORRESPONDENT, DNR
COLLEGE ASSOCIATION, BALUSUMUDI, BHIMAVARAM-534202, WEST GODAVARI DISTRICT, ANDHRA PRADESH",WEST GODAVARI,Private-Self Financing
"RAVINDRA COLLEGE OF ENGINEERING
FOR WOMEN","PASUPULA VILLAGE, NANDIKOTKUR
ROAD KURNOOL - 518002.",KURNOOL,"Private-Self
Financing"
GOUTHAMI INSTITUTE OF TECHNOLOGY & MANAGEMENT FOR WOMEN,"SAI NAGAR, PEDDASETTYPALLE(V),
PRODDATUR(M), KADAPA(DT), ANDHRA PRADESH - 516361",YSR DISTRICT,Private-Self Financing
S.V.ARTS & SCIENCE COLLEGE,"DIVIPALEM VILLAGE, WEST GUDUR,
GUDUR - 524102, SPSR NELLORE DIST.",NELLORE,"Private-Self
Financing"
GOVERNMENT POLYTECHNIC,AYYANNAPALEM VIA K D PETA ROAD,VISHAKHAPATNAM,Government
LOYOLA POLYTECHNIC (YSRR),"BAKARAPURAM, LOYOLA COLLEGE
COMPOUND, PULIVENDLA - 516390 YSR DIST. ANDHRA PRADESH",YSR DISTRICT,Private-Self Financing
RAO'S INSTITUE OF COMPUTER SCIENCE,"KHANDRIK, VENKATACHALAM(M)
NELLORE-524320",NELLORE,"Private-Self
Financing"
SRI Y. N. COLLEGE,"SRI Y.N.COLLEGE COLLEGE STREET
NARSAPUR - 534275 WEST GODAVARI DISTRICT ANDHRA PRADESH",WEST GODAVARI,Private-Self Financing
AVANTHI POLYTECHNIC COLLEGE,"KAVULAVADA VILLAGE BHOGAPURAM
MANDAL VIZIANAGARAM DIST.",VIZIANAGARAM,"Private-Self
Financing"
"SESHACHALA INSTITUTE OF
ENGINEERING & TECHNOLOGY","SVS NAGAR, VADAMALA VILLAGE,
VADAMALAPETA, TIRUPATI.",CHITTOOR,"Private-Self
Financing"
GOVERNMENT POLYTECNIC,"GOVERNMENT POLYTECHNIC,
RAYACHOTY, NEAR RING ROAD, MASAPETA, RAYACHOTY, KADAPA DISTRICT, ANDHRAPRADESH, PIN CODE: 516270",YSR DISTRICT,Government
ARIES POLYTECHNIC COLLEGE,"1-123 B.N.R.PETA CHITTOOR- TIRUTTANI
ROAD",CHITTOOR,"Private-Self
Financing"
GIET ENGINEERING COLLEGE,"NH-5, CHAITANYA KNOWLEDGE CITY,
VELUGUBANDA (V), RAJANAGARAM (M), RAJAHMUNDRY-533296.",EAST GODAVARI,Private-Self Financing
MOTHERE THERESA INSTITUTE OF COMPUTER APPLICATIONS,"MELUMOI POST & VILLAGE, PALAMANER
517 408, CHITTOOR DIST. ANDHRA PRADESH",CHITTOOR,Private-Self Financing
"ALWAR SCHOOL OF BUSINESS AND
COMPUTERS","HIMACHAL NAGAR, MULAGADA,
GAJUWAKA, VISAKHAPATNAM - 530026",VISHAKHAPATNAM,"Private-Self
Financing"
P.V.K.K. INSTITUTE OF TECHNOLOGY,"RUDRAMPETA, SANAPA
ROAD,ANANTAPUR,A P.",ANANTAPUR,"Private-Self
Financing"
KBN COLLEGE PG CENTER,"KOTHAPET VIJAYAWADA KRISHNA-
520001",KRISHNA,"Private-Self
Financing"
RAMACHANDRA COLLEGE OF ENGINEERING,"NH-5 BYPASS ROAD, VATLURU (V),
ELURU-534007, WEST GODAVARI DT., ANDHRA PRADESH.",WEST GODAVARI,Private-Self Financing
"UNIVERSAL COLLEGE OF ENGINEERING
AND TECHNOLOGY","DOKIPARRU (VILLAGE) MEDIKONDUR
(MANDAL), GUNTUR-522 438.",GUNTUR,"Private-Self
Financing"
"GOVERNMENT MODEL RESIDENTIAL
POLYTECHNIC",NIMMANAPALLE ROAD,CHITTOOR,Government
ESWAR COLLEGE OF ENGINEERING,"ESWAR COLLEGE OF ENGINEERING
KESANUPALLY(V), NARASARAOPET(M), GUNTUR(DIST)-522601, ANDHRA PRADESH, INDIA",GUNTUR,Private-Self Financing
